0	Car	HK	0-100	KM driven	KM/L	Price	Year	Doors	Motor
2387	Opel Astra	105.0	11.7	5	23.3	209900	2017	5.0	1.0
2388	Audi A6	190.0	8.5	66	22.7	529900	2015	5.0	2.0
2389	VW Polo	90.0	10.8	11	21.3	164800	2017	5.0	1.2
2390	Volvo V60	181.0	7.6	62	26.3	299700	2015	5.0	2.0
2391	Ford S	140.0	10.2	112	17.9	239900	2012	5.0	2.0
2392	BMW 435i	306.0	5.0	44	12.0	689900	2015	5.0	3.0
2393	Citroën C3	82.0	12.3	37	23.3	99990	2016	5.0	1.2
2394	VW Touareg	262.0	7.3	39	15.2	749900	2015	5.0	3.0
2395	Mercedes E63	557.0	3.8	59	9.5	1249900	2014	5.0	5.5
2396	Skoda Octavia	140.0	9.6	217	18.9	99900	2011	5.0	2.0
2397	Volvo V60	190.0	7.3	8	17.2	424900	2018	5.0	2.0
2398	Hyundai i30	100.0	13.2	53	17.9	129900	2012	5.0	1.4
2399	Ford Focus	95.0	12.5	15	23.8	159900	2011	5.0	1.6
2400	Peugeot 2008	100.0	11.3	13	28.6	169900	2017	5.0	1.6
2401	Opel Corsa	90.0	13.2	11	20.0	134900	2016	5.0	1.4
2402	Mercedes S63	525.0	9.891626113304564	113	20.24215407216968	749900	2007	4.0	6.3
2403	Opel Corsa	85.0	13.6	25	19.6	119900	2014	5.0	1.2
2404	Citroën Grand	120.0	13.6	2	25.0	244800	2017	5.0	1.6
2405	Toyota Auris	126.0	10.3	96	19.2	114800	2011	5.0	2.0
2406	Seat Arona	115.0	11.1	3	20.0	264318	2018	5.0	1.0
2407	Mitsubishi Space	80.0	11.7	28	23.3	79900	2015	5.0	1.2
2408	Porsche Macan	400.0	4.8	0	10.9	2229968	2018	5.0	3.6
2409	Toyota Avensis	132.0	10.6	186	15.2	119800	2010	5.0	1.6
2410	BMW 530d	245.0	6.9	173	15.4	319900	2010	5.0	3.0
2411	DS DS	180.0	9.2	21	23.3	314900	2015	5.0	2.0
2412	Opel Insignia	140.0	12.2	105	12.8	129900	2010	5.0	1.8
2413	Mercedes C220	170.0	8.1	61	25.0	369900	2014	4.0	2.2
2414	Skoda Octavia	115.0	10.1	15	24.4	249900	2018	5.0	1.6
2415	Opel Astra	105.0	11.7	5	23.3	209900	2017	5.0	1.0
2416	Audi A6	190.0	8.5	66	22.7	529900	2015	5.0	2.0
2417	VW Polo	90.0	10.8	11	21.3	164800	2017	5.0	1.2
2418	Volvo V60	181.0	7.6	62	26.3	299700	2015	5.0	2.0
2419	Ford S	140.0	10.2	112	17.9	239900	2012	5.0	2.0
2420	BMW 435i	306.0	5.0	44	12.0	689900	2015	5.0	3.0
2421	Citroën C3	82.0	12.3	37	23.3	99990	2016	5.0	1.2
2422	VW Touareg	262.0	7.3	39	15.2	749900	2015	5.0	3.0
2423	Mercedes E63	557.0	3.8	59	9.5	1249900	2014	5.0	5.5
2424	Skoda Octavia	140.0	9.6	217	18.9	99900	2011	5.0	2.0
2425	Volvo V60	190.0	7.3	8	17.2	424900	2018	5.0	2.0
2426	Hyundai i30	100.0	13.2	53	17.9	129900	2012	5.0	1.4
2427	Ford Focus	95.0	12.5	15	23.8	159900	2011	5.0	1.6
2428	Peugeot 2008	100.0	11.3	13	28.6	169900	2017	5.0	1.6
2429	Opel Corsa	90.0	13.2	11	20.0	134900	2016	5.0	1.4
2430	Mercedes S63	525.0	9.891626113304564	113	20.24215407216968	749900	2007	4.0	6.3
2431	Opel Corsa	85.0	13.6	25	19.6	119900	2014	5.0	1.2
2432	Citroën Grand	120.0	13.6	2	25.0	244800	2017	5.0	1.6
2433	Toyota Auris	126.0	10.3	96	19.2	114800	2011	5.0	2.0
2434	Seat Arona	115.0	11.1	3	20.0	264318	2018	5.0	1.0
2435	Mitsubishi Space	80.0	11.7	28	23.3	79900	2015	5.0	1.2
2436	Porsche Macan	400.0	4.8	0	10.9	2229968	2018	5.0	3.6
2437	Toyota Avensis	132.0	10.6	186	15.2	119800	2010	5.0	1.6
2438	BMW 530d	245.0	6.9	173	15.4	319900	2010	5.0	3.0
2439	DS DS	180.0	9.2	21	23.3	314900	2015	5.0	2.0
2440	Opel Insignia	140.0	12.2	105	12.8	129900	2010	5.0	1.8
2441	Mercedes C220	170.0	8.1	61	25.0	369900	2014	4.0	2.2
2442	Skoda Octavia	115.0	10.1	15	24.4	249900	2018	5.0	1.6
2443	Opel Astra	105.0	11.7	5	23.3	209900	2017	5.0	1.0
2444	Audi A6	190.0	8.5	66	22.7	529900	2015	5.0	2.0
2445	VW Polo	90.0	10.8	11	21.3	164800	2017	5.0	1.2
2446	Volvo V60	181.0	7.6	62	26.3	299700	2015	5.0	2.0
2447	Ford S	140.0	10.2	112	17.9	239900	2012	5.0	2.0
2448	BMW 435i	306.0	5.0	44	12.0	689900	2015	5.0	3.0
2449	Citroën C3	82.0	12.3	37	23.3	99990	2016	5.0	1.2
2450	VW Touareg	262.0	7.3	39	15.2	749900	2015	5.0	3.0
2451	Mercedes E63	557.0	3.8	59	9.5	1249900	2014	5.0	5.5
2452	Skoda Octavia	140.0	9.6	217	18.9	99900	2011	5.0	2.0
2453	Volvo V60	190.0	7.3	8	17.2	424900	2018	5.0	2.0
2454	Hyundai i30	100.0	13.2	53	17.9	129900	2012	5.0	1.4
2455	Ford Focus	95.0	12.5	15	23.8	159900	2011	5.0	1.6
2456	Peugeot 2008	100.0	11.3	13	28.6	169900	2017	5.0	1.6
2457	Opel Corsa	90.0	13.2	11	20.0	134900	2016	5.0	1.4
2458	Mercedes S63	525.0	9.891626113304564	113	20.24215407216968	749900	2007	4.0	6.3
2459	Opel Corsa	85.0	13.6	25	19.6	119900	2014	5.0	1.2
2460	Citroën Grand	120.0	13.6	2	25.0	244800	2017	5.0	1.6
2461	Toyota Auris	126.0	10.3	96	19.2	114800	2011	5.0	2.0
2462	Seat Arona	115.0	11.1	3	20.0	264318	2018	5.0	1.0
2463	Mitsubishi Space	80.0	11.7	28	23.3	79900	2015	5.0	1.2
2464	Porsche Macan	400.0	4.8	0	10.9	2229968	2018	5.0	3.6
2465	Toyota Avensis	132.0	10.6	186	15.2	119800	2010	5.0	1.6
2466	BMW 530d	245.0	6.9	173	15.4	319900	2010	5.0	3.0
2467	DS DS	180.0	9.2	21	23.3	314900	2015	5.0	2.0
2468	Opel Insignia	140.0	12.2	105	12.8	129900	2010	5.0	1.8
2469	Mercedes C220	170.0	8.1	61	25.0	369900	2014	4.0	2.2
2470	Skoda Octavia	115.0	10.1	15	24.4	249900	2018	5.0	1.6
2471	Opel Astra	105.0	11.7	5	23.3	209900	2017	5.0	1.0
2472	Audi A6	190.0	8.5	66	22.7	529900	2015	5.0	2.0
2473	VW Polo	90.0	10.8	11	21.3	164800	2017	5.0	1.2
2474	Volvo V60	181.0	7.6	62	26.3	299700	2015	5.0	2.0
2475	Ford S	140.0	10.2	112	17.9	239900	2012	5.0	2.0
2476	BMW 435i	306.0	5.0	44	12.0	689900	2015	5.0	3.0
2477	Citroën C3	82.0	12.3	37	23.3	99990	2016	5.0	1.2
2478	VW Touareg	262.0	7.3	39	15.2	749900	2015	5.0	3.0
2479	Mercedes E63	557.0	3.8	59	9.5	1249900	2014	5.0	5.5
2480	Skoda Octavia	140.0	9.6	217	18.9	99900	2011	5.0	2.0
2481	Volvo V60	190.0	7.3	8	17.2	424900	2018	5.0	2.0
2482	Hyundai i30	100.0	13.2	53	17.9	129900	2012	5.0	1.4
2483	Ford Focus	95.0	12.5	15	23.8	159900	2011	5.0	1.6
2484	Peugeot 2008	100.0	11.3	13	28.6	169900	2017	5.0	1.6
2485	Opel Corsa	90.0	13.2	11	20.0	134900	2016	5.0	1.4
2486	Mercedes S63	525.0	9.891626113304564	113	20.24215407216968	749900	2007	4.0	6.3
2487	Opel Corsa	85.0	13.6	25	19.6	119900	2014	5.0	1.2
2488	Citroën Grand	120.0	13.6	2	25.0	244800	2017	5.0	1.6
2489	Toyota Auris	126.0	10.3	96	19.2	114800	2011	5.0	2.0
2490	Seat Arona	115.0	11.1	3	20.0	264318	2018	5.0	1.0
2491	Mitsubishi Space	80.0	11.7	28	23.3	79900	2015	5.0	1.2
2492	Porsche Macan	400.0	4.8	0	10.9	2229968	2018	5.0	3.6
2493	Toyota Avensis	132.0	10.6	186	15.2	119800	2010	5.0	1.6
2494	BMW 530d	245.0	6.9	173	15.4	319900	2010	5.0	3.0
2495	DS DS	180.0	9.2	21	23.3	314900	2015	5.0	2.0
2496	Opel Insignia	140.0	12.2	105	12.8	129900	2010	5.0	1.8
2497	Mercedes C220	170.0	8.1	61	25.0	369900	2014	4.0	2.2
2498	Skoda Octavia	115.0	10.1	15	24.4	249900	2018	5.0	1.6
2499	Opel Astra	105.0	11.7	5	23.3	209900	2017	5.0	1.0
2500	Audi A6	190.0	8.5	66	22.7	529900	2015	5.0	2.0
2501	VW Polo	90.0	10.8	11	21.3	164800	2017	5.0	1.2
2502	Volvo V60	181.0	7.6	62	26.3	299700	2015	5.0	2.0
2503	Ford S	140.0	10.2	112	17.9	239900	2012	5.0	2.0
2504	BMW 435i	306.0	5.0	44	12.0	689900	2015	5.0	3.0
