0	Car	HK	0-100	KM driven	KM/L	Price	Year	Doors	Motor
8074	Opel Insignia	160.0	9.9	68	19.6	159900	2011	5.0	2.0
8075	Chevrolet Spark	68.0	15.5	120	20.0	34900	2011	5.0	1.0
8076	Suzuki S	120.0	13.0	58	22.7	199800	2013	5.0	1.6
8077	Fiat 500L	120.0	12.8	0	14.9	199900	2017	5.0	1.4
8078	Ford Kuga	180.0	10.4	99	18.5	307000	2015	5.0	2.0
8079	Audi A4	136.0	9.8	52	21.3	249900	2013	5.0	2.0
8080	Ford S	163.0	10.2	184	16.7	169800	2012	5.0	2.0
8081	Peugeot 308	120.0	10.1	162	31.3	134900	2014	5.0	1.6
8082	Kia Ceed	115.0	11.5	155	22.7	69900	2011	5.0	1.6
8083	BMW X4	258.0	5.8	52	16.9	649900	2015	5.0	3.0
8084	Mercedes ML320	224.0	8.6	188	10.4	299900	2008	5.0	3.0
8085	BMW 320d	190.0	7.7	59	23.3	369900	2016	5.0	2.0
8086	VW Passat	170.0	8.6	159	19.2	189900	2013	4.0	2.0
8087	VW Golf	100.0	12.5	126	18.9	42900	2002	3.0	1.9
8088	Toyota Avensis	126.0	9.7	193	18.5	94900	2009	4.0	2.0
8089	Ford S	163.0	10.2	149	16.7	179800	2011	5.0	2.0
8090	Porsche Panamera	440.0	4.4	12	12.2	775000	2017	5.0	2.9
8091	Suzuki S	120.0	11.0	62	18.5	169900	2014	5.0	1.6
8092	Kia Venga	90.0	12.9	5	17.9	164900	2017	5.0	1.4
8093	Audi Q5	177.0	9.0	79	16.4	499700	2014	5.0	2.0
8094	Mercedes C200	136.0	9.5	138	20.0	269800	2014	5.0	2.2
8095	Nissan Qashqai	130.0	10.5	40	22.7	269700	2014	5.0	1.6
8096	Ford Grand	115.0	12.3	45	21.7	169800	2014	5.0	1.6
8097	Mazda MX	131.0	8.3	3	16.4	349700	2017	2.0	1.5
8098	Mercedes C200	136.0	9.5	131	18.9	264900	2014	5.0	2.2
8099	Hyundai i10	66.0	14.9	28	21.3	96900	2015	5.0	1.0
8100	Opel Insignia	160.0	9.9	68	19.6	159900	2011	5.0	2.0
8101	Chevrolet Spark	68.0	15.5	120	20.0	34900	2011	5.0	1.0
8102	Suzuki S	120.0	13.0	58	22.7	199800	2013	5.0	1.6
8103	Fiat 500L	120.0	12.8	0	14.9	199900	2017	5.0	1.4
8104	Ford Kuga	180.0	10.4	99	18.5	307000	2015	5.0	2.0
8105	Audi A4	136.0	9.8	52	21.3	249900	2013	5.0	2.0
8106	Ford S	163.0	10.2	184	16.7	169800	2012	5.0	2.0
8107	Peugeot 308	120.0	10.1	162	31.3	134900	2014	5.0	1.6
8108	BMW X4	258.0	5.8	52	16.9	649900	2015	5.0	3.0
8109	Mercedes ML320	224.0	8.6	188	10.4	299900	2008	5.0	3.0
8110	BMW 320d	190.0	7.7	59	23.3	369900	2016	5.0	2.0
8111	VW Passat	170.0	8.6	159	19.2	189900	2013	4.0	2.0
8112	VW Golf	100.0	12.5	126	18.9	42900	2002	3.0	1.9
8113	Toyota Avensis	126.0	9.7	193	18.5	94900	2009	4.0	2.0
8114	Ford S	163.0	10.2	149	16.7	179800	2011	5.0	2.0
8115	Porsche Panamera	440.0	4.4	12	12.2	775000	2017	5.0	2.9
8116	Suzuki S	120.0	11.0	62	18.5	169900	2014	5.0	1.6
8117	Kia Venga	90.0	12.9	5	17.9	164900	2017	5.0	1.4
8118	Audi Q5	177.0	9.0	79	16.4	499700	2014	5.0	2.0
8119	Mercedes C200	136.0	9.5	138	20.0	269800	2014	5.0	2.2
8120	Nissan Qashqai	130.0	10.5	40	22.7	269700	2014	5.0	1.6
8121	Ford Grand	115.0	12.3	45	21.7	169800	2014	5.0	1.6
8122	Mazda MX	131.0	8.3	3	16.4	349700	2017	2.0	1.5
8123	Mercedes C200	136.0	9.5	131	18.9	264900	2014	5.0	2.2
8124	Hyundai i10	66.0	14.9	28	21.3	96900	2015	5.0	1.0
8125	Opel Insignia	160.0	9.9	68	19.6	159900	2011	5.0	2.0
8126	Chevrolet Spark	68.0	15.5	120	20.0	34900	2011	5.0	1.0
8127	Suzuki S	120.0	13.0	58	22.7	199800	2013	5.0	1.6
8128	Fiat 500L	120.0	12.8	0	14.9	199900	2017	5.0	1.4
8129	Ford Kuga	180.0	10.4	99	18.5	307000	2015	5.0	2.0
8130	Audi A4	136.0	9.8	52	21.3	249900	2013	5.0	2.0
8131	Ford S	163.0	10.2	184	16.7	169800	2012	5.0	2.0
8132	Peugeot 308	120.0	10.1	162	31.3	134900	2014	5.0	1.6
8133	Fiat 500C	105.0	10.0	11	23.8	144900	2015	2.0	0.9
8134	BMW X4	258.0	5.8	52	16.9	649900	2015	5.0	3.0
8135	Mercedes ML320	224.0	8.6	188	10.4	299900	2008	5.0	3.0
8136	BMW 320d	190.0	7.7	59	23.3	369900	2016	5.0	2.0
8137	VW Passat	170.0	8.6	159	19.2	189900	2013	4.0	2.0
8138	VW Golf	100.0	12.5	126	18.9	42900	2002	3.0	1.9
8139	Toyota Avensis	126.0	9.7	193	18.5	94900	2009	4.0	2.0
8140	Ford S	163.0	10.2	149	16.7	179800	2011	5.0	2.0
8141	Porsche Panamera	440.0	4.4	12	12.2	775000	2017	5.0	2.9
8142	Suzuki S	120.0	11.0	62	18.5	169900	2014	5.0	1.6
8143	Kia Venga	90.0	12.9	5	17.9	164900	2017	5.0	1.4
8144	Audi Q5	177.0	9.0	79	16.4	499700	2014	5.0	2.0
8145	Mercedes C200	136.0	9.5	138	20.0	269800	2014	5.0	2.2
8146	Nissan Qashqai	130.0	10.5	40	22.7	269700	2014	5.0	1.6
8147	Ford Grand	115.0	12.3	45	21.7	169800	2014	5.0	1.6
8148	Mazda MX	131.0	8.3	3	16.4	349700	2017	2.0	1.5
8149	Mercedes C200	136.0	9.5	131	18.9	264900	2014	5.0	2.2
8150	Hyundai i10	66.0	14.9	28	21.3	96900	2015	5.0	1.0
8151	Opel Insignia	160.0	9.9	68	19.6	159900	2011	5.0	2.0
8152	Chevrolet Spark	68.0	15.5	120	20.0	34900	2011	5.0	1.0
8153	Suzuki S	120.0	13.0	58	22.7	199800	2013	5.0	1.6
8154	Fiat 500L	120.0	12.8	0	14.9	199900	2017	5.0	1.4
8155	Ford Kuga	180.0	10.4	99	18.5	307000	2015	5.0	2.0
8156	Audi A4	136.0	9.8	52	21.3	249900	2013	5.0	2.0
8157	Ford S	163.0	10.2	184	16.7	169800	2012	5.0	2.0
8158	Peugeot 308	120.0	10.1	162	31.3	134900	2014	5.0	1.6
8159	Fiat 500C	105.0	10.0	11	23.8	144900	2015	2.0	0.9
8160	BMW X4	258.0	5.8	52	16.9	649900	2015	5.0	3.0
8161	Mercedes ML320	224.0	8.6	188	10.4	299900	2008	5.0	3.0
8162	BMW 320d	190.0	7.7	59	23.3	369900	2016	5.0	2.0
8163	VW Passat	170.0	8.6	159	19.2	189900	2013	4.0	2.0
8164	VW Golf	100.0	12.5	126	18.9	42900	2002	3.0	1.9
8165	Toyota Avensis	126.0	9.7	193	18.5	94900	2009	4.0	2.0
8166	Ford S	163.0	10.2	149	16.7	179800	2011	5.0	2.0
8167	Porsche Panamera	440.0	4.4	12	12.2	775000	2017	5.0	2.9
8168	Suzuki S	120.0	11.0	62	18.5	169900	2014	5.0	1.6
8169	Kia Venga	90.0	12.9	5	17.9	164900	2017	5.0	1.4
8170	Audi Q5	177.0	9.0	79	16.4	499700	2014	5.0	2.0
8171	Mercedes C200	136.0	9.5	138	20.0	269800	2014	5.0	2.2
8172	Nissan Qashqai	130.0	10.5	40	22.7	269700	2014	5.0	1.6
8173	Ford Grand	115.0	12.3	45	21.7	169800	2014	5.0	1.6
8174	Mazda MX	131.0	8.3	3	16.4	349700	2017	2.0	1.5
8175	Mercedes C200	136.0	9.5	131	18.9	264900	2014	5.0	2.2
8176	Hyundai i10	66.0	14.9	28	21.3	96900	2015	5.0	1.0
8177	Opel Insignia	160.0	9.9	68	19.6	159900	2011	5.0	2.0
8178	Chevrolet Spark	68.0	15.5	120	20.0	34900	2011	5.0	1.0
8179	Suzuki S	120.0	13.0	58	22.7	199800	2013	5.0	1.6
8180	Fiat 500L	120.0	12.8	0	14.9	199900	2017	5.0	1.4
8181	Ford Kuga	180.0	10.4	99	18.5	307000	2015	5.0	2.0
8182	Audi A4	136.0	9.8	52	21.3	249900	2013	5.0	2.0
8183	Ford S	163.0	10.2	184	16.7	169800	2012	5.0	2.0
8184	Peugeot 308	120.0	10.1	162	31.3	134900	2014	5.0	1.6
8185	Fiat 500C	105.0	10.0	11	23.8	144900	2015	2.0	0.9
8186	BMW X4	258.0	5.8	52	16.9	649900	2015	5.0	3.0
8187	Mercedes ML320	224.0	8.6	188	10.4	299900	2008	5.0	3.0
8188	BMW 320d	190.0	7.7	59	23.3	369900	2016	5.0	2.0
8189	VW Passat	170.0	8.6	159	19.2	189900	2013	4.0	2.0
8190	VW Golf	100.0	12.5	126	18.9	42900	2002	3.0	1.9
8191	Toyota Avensis	126.0	9.7	193	18.5	94900	2009	4.0	2.0
8192	Ford S	163.0	10.2	149	16.7	179800	2011	5.0	2.0
8193	Porsche Panamera	440.0	4.4	12	12.2	775000	2017	5.0	2.9
8194	Suzuki S	120.0	11.0	62	18.5	169900	2014	5.0	1.6
8195	Kia Venga	90.0	12.9	5	17.9	164900	2017	5.0	1.4
8196	Audi Q5	177.0	9.0	79	16.4	499700	2014	5.0	2.0
8197	Mercedes C200	136.0	9.5	138	20.0	269800	2014	5.0	2.2
8198	Nissan Qashqai	130.0	10.5	40	22.7	269700	2014	5.0	1.6
8199	Ford Grand	115.0	12.3	45	21.7	169800	2014	5.0	1.6
8200	Mazda MX	131.0	8.3	3	16.4	349700	2017	2.0	1.5
8201	Mercedes C200	136.0	9.5	131	18.9	264900	2014	5.0	2.2
8202	Hyundai i10	66.0	14.9	28	21.3	96900	2015	5.0	1.0
8203	Opel Insignia	160.0	9.9	68	19.6	159900	2011	5.0	2.0
8204	Chevrolet Spark	68.0	15.5	120	20.0	34900	2011	5.0	1.0
8205	Suzuki S	120.0	13.0	58	22.7	199800	2013	5.0	1.6
8206	Fiat 500L	120.0	12.8	0	14.9	199900	2017	5.0	1.4
8207	Ford Kuga	180.0	10.4	99	18.5	307000	2015	5.0	2.0
8208	Audi A4	136.0	9.8	52	21.3	249900	2013	5.0	2.0
8209	Ford S	163.0	10.2	184	16.7	169800	2012	5.0	2.0
8210	Peugeot 308	120.0	10.1	162	31.3	134900	2014	5.0	1.6
8211	Fiat 500C	105.0	10.0	11	23.8	144900	2015	2.0	0.9
8212	Kia Ceed	115.0	11.5	155	22.7	69900	2011	5.0	1.6
8213	BMW X4	258.0	5.8	52	16.9	649900	2015	5.0	3.0
8214	Mercedes ML320	224.0	8.6	188	10.4	299900	2008	5.0	3.0
8215	BMW 320d	190.0	7.7	59	23.3	369900	2016	5.0	2.0
8216	VW Passat	170.0	8.6	159	19.2	189900	2013	4.0	2.0
8217	VW Golf	100.0	12.5	126	18.9	42900	2002	3.0	1.9
8218	Toyota Avensis	126.0	9.7	193	18.5	94900	2009	4.0	2.0
8219	Ford S	163.0	10.2	149	16.7	179800	2011	5.0	2.0
8220	Porsche Panamera	440.0	4.4	12	12.2	775000	2017	5.0	2.9
8221	Suzuki S	120.0	11.0	62	18.5	169900	2014	5.0	1.6
8222	Kia Venga	90.0	12.9	5	17.9	164900	2017	5.0	1.4
8223	Audi Q5	177.0	9.0	79	16.4	499700	2014	5.0	2.0
8224	Mercedes C200	136.0	9.5	138	20.0	269800	2014	5.0	2.2
8225	Nissan Qashqai	130.0	10.5	40	22.7	269700	2014	5.0	1.6
8226	Ford Grand	115.0	12.3	45	21.7	169800	2014	5.0	1.6
8227	Mazda MX	131.0	8.3	3	16.4	349700	2017	2.0	1.5
8228	Mercedes C200	136.0	9.5	131	18.9	264900	2014	5.0	2.2
8229	Hyundai i10	66.0	14.9	28	21.3	96900	2015	5.0	1.0
8230	Opel Insignia	160.0	9.9	68	19.6	159900	2011	5.0	2.0
8231	Chevrolet Spark	68.0	15.5	120	20.0	34900	2011	5.0	1.0
8232	Suzuki S	120.0	13.0	58	22.7	199800	2013	5.0	1.6
8233	Fiat 500L	120.0	12.8	0	14.9	199900	2017	5.0	1.4
8234	Ford Kuga	180.0	10.4	99	18.5	307000	2015	5.0	2.0
8235	Audi A4	136.0	9.8	52	21.3	249900	2013	5.0	2.0
8236	Ford S	163.0	10.2	184	16.7	169800	2012	5.0	2.0
8237	Peugeot 308	120.0	10.1	162	31.3	134900	2014	5.0	1.6
8238	BMW X4	258.0	5.8	52	16.9	649900	2015	5.0	3.0
8239	Mercedes ML320	224.0	8.6	188	10.4	299900	2008	5.0	3.0
8240	BMW 320d	190.0	7.7	59	23.3	369900	2016	5.0	2.0
8241	VW Passat	170.0	8.6	159	19.2	189900	2013	4.0	2.0
8242	VW Golf	100.0	12.5	126	18.9	42900	2002	3.0	1.9
8243	Toyota Avensis	126.0	9.7	193	18.5	94900	2009	4.0	2.0
8244	Ford S	163.0	10.2	149	16.7	179800	2011	5.0	2.0
8245	Porsche Panamera	440.0	4.4	12	12.2	775000	2017	5.0	2.9
8246	Suzuki S	120.0	11.0	62	18.5	169900	2014	5.0	1.6
8247	Kia Venga	90.0	12.9	5	17.9	164900	2017	5.0	1.4
8248	Audi Q5	177.0	9.0	79	16.4	499700	2014	5.0	2.0
8249	Mercedes C200	136.0	9.5	138	20.0	269800	2014	5.0	2.2
8250	Nissan Qashqai	130.0	10.5	40	22.7	269700	2014	5.0	1.6
8251	Ford Grand	115.0	12.3	45	21.7	169800	2014	5.0	1.6
8252	Mazda MX	131.0	8.3	3	16.4	349700	2017	2.0	1.5
8253	Mercedes C200	136.0	9.5	131	18.9	264900	2014	5.0	2.2
8254	Hyundai i10	66.0	14.9	28	21.3	96900	2015	5.0	1.0
8255	Opel Insignia	160.0	9.9	68	19.6	159900	2011	5.0	2.0
8256	Chevrolet Spark	68.0	15.5	120	20.0	34900	2011	5.0	1.0
8257	Suzuki S	120.0	13.0	58	22.7	199800	2013	5.0	1.6
8258	Fiat 500L	120.0	12.8	0	14.9	199900	2017	5.0	1.4
8259	Ford Kuga	180.0	10.4	99	18.5	307000	2015	5.0	2.0
8260	Audi A4	136.0	9.8	52	21.3	249900	2013	5.0	2.0
8261	Ford S	163.0	10.2	184	16.7	169800	2012	5.0	2.0
8262	Peugeot 308	120.0	10.1	162	31.3	134900	2014	5.0	1.6
8263	Fiat 500C	105.0	10.0	11	23.8	144900	2015	2.0	0.9
8264	Skoda Fabia	75.0	14.3	62	29.4	94900	2012	5.0	1.2
8265	Opel Insignia	160.0	9.9	110	19.6	159900	2013	5.0	2.0
8266	Opel Insignia	163.0	9.9	149	22.2	199900	2015	5.0	2.0
8267	Audi A6	313.0	5.3	109	15.6	549800	2013	5.0	3.0
8268	Opel Zafira	165.0	9.8	132	21.3	209900	2013	5.0	2.0
8269	Mercedes A180	122.0	9.1	40	17.9	269900	2013	5.0	1.6
8270	Kia Ceed	115.0	11.5	155	22.7	69900	2011	5.0	1.6
8271	BMW X4	258.0	5.8	52	16.9	649900	2015	5.0	3.0
8272	Mercedes ML320	224.0	8.6	188	10.4	299900	2008	5.0	3.0
8273	BMW 320d	190.0	7.7	59	23.3	369900	2016	5.0	2.0
8274	VW Passat	170.0	8.6	159	19.2	189900	2013	4.0	2.0
8275	VW Golf	100.0	12.5	126	18.9	42900	2002	3.0	1.9
8276	Toyota Avensis	126.0	9.7	193	18.5	94900	2009	4.0	2.0
8277	Ford S	163.0	10.2	149	16.7	179800	2011	5.0	2.0
8278	Porsche Panamera	440.0	4.4	12	12.2	775000	2017	5.0	2.9
8279	Suzuki S	120.0	11.0	62	18.5	169900	2014	5.0	1.6
8280	Kia Venga	90.0	12.9	5	17.9	164900	2017	5.0	1.4
8281	Audi Q5	177.0	9.0	79	16.4	499700	2014	5.0	2.0
8282	Mercedes C200	136.0	9.5	138	20.0	269800	2014	5.0	2.2
8283	Nissan Qashqai	130.0	10.5	40	22.7	269700	2014	5.0	1.6
8284	Ford Grand	115.0	12.3	45	21.7	169800	2014	5.0	1.6
8285	Mazda MX	131.0	8.3	3	16.4	349700	2017	2.0	1.5
8286	Mercedes C200	136.0	9.5	131	18.9	264900	2014	5.0	2.2
8287	Hyundai i10	66.0	14.9	28	21.3	96900	2015	5.0	1.0
8288	Opel Insignia	160.0	9.9	68	19.6	159900	2011	5.0	2.0
8289	Chevrolet Spark	68.0	15.5	120	20.0	34900	2011	5.0	1.0
8290	Suzuki S	120.0	13.0	58	22.7	199800	2013	5.0	1.6
8291	Fiat 500L	120.0	12.8	0	14.9	199900	2017	5.0	1.4
8292	Opel Astra	136.0	10.1	5	21.7	269900	2017	5.0	1.6
8293	Skoda Fabia	75.0	14.3	62	29.4	94900	2012	5.0	1.2
8294	Opel Insignia	160.0	9.9	110	19.6	159900	2013	5.0	2.0
8295	Opel Insignia	163.0	9.9	149	22.2	199900	2015	5.0	2.0
8296	Audi A6	313.0	5.3	109	15.6	549800	2013	5.0	3.0
8297	Opel Zafira	165.0	9.8	132	21.3	209900	2013	5.0	2.0
8298	Mercedes A180	122.0	9.1	40	17.9	269900	2013	5.0	1.6
8299	Kia Ceed	115.0	11.5	155	22.7	69900	2011	5.0	1.6
8300	BMW X4	258.0	5.8	52	16.9	649900	2015	5.0	3.0
8301	Mercedes ML320	224.0	8.6	188	10.4	299900	2008	5.0	3.0
8302	BMW 320d	190.0	7.7	59	23.3	369900	2016	5.0	2.0
8303	VW Passat	170.0	8.6	159	19.2	189900	2013	4.0	2.0
8304	VW Golf	100.0	12.5	126	18.9	42900	2002	3.0	1.9
8305	Toyota Avensis	126.0	9.7	193	18.5	94900	2009	4.0	2.0
8306	Ford S	163.0	10.2	149	16.7	179800	2011	5.0	2.0
8307	Porsche Panamera	440.0	4.4	12	12.2	775000	2017	5.0	2.9
8308	Suzuki S	120.0	11.0	62	18.5	169900	2014	5.0	1.6
8309	Kia Venga	90.0	12.9	5	17.9	164900	2017	5.0	1.4
8310	Audi Q5	177.0	9.0	79	16.4	499700	2014	5.0	2.0
8311	Mercedes C200	136.0	9.5	138	20.0	269800	2014	5.0	2.2
8312	Nissan Qashqai	130.0	10.5	40	22.7	269700	2014	5.0	1.6
8313	Ford Grand	115.0	12.3	45	21.7	169800	2014	5.0	1.6
8314	Mazda MX	131.0	8.3	3	16.4	349700	2017	2.0	1.5
8315	Mercedes C200	136.0	9.5	131	18.9	264900	2014	5.0	2.2
8316	Hyundai i10	66.0	14.9	28	21.3	96900	2015	5.0	1.0
8317	Opel Insignia	160.0	9.9	68	19.6	159900	2011	5.0	2.0
8318	Chevrolet Spark	68.0	15.5	120	20.0	34900	2011	5.0	1.0
8319	Suzuki S	120.0	13.0	58	22.7	199800	2013	5.0	1.6
8320	BMW X4	258.0	5.8	52	16.9	649900	2015	5.0	3.0
8321	Mercedes ML320	224.0	8.6	188	10.4	299900	2008	5.0	3.0
8322	BMW 320d	190.0	7.7	59	23.3	369900	2016	5.0	2.0
8323	VW Passat	170.0	8.6	159	19.2	189900	2013	4.0	2.0
8324	VW Golf	100.0	12.5	126	18.9	42900	2002	3.0	1.9
8325	Toyota Avensis	126.0	9.7	193	18.5	94900	2009	4.0	2.0
8326	Ford S	163.0	10.2	149	16.7	179800	2011	5.0	2.0
8327	Porsche Panamera	440.0	4.4	12	12.2	775000	2017	5.0	2.9
8328	Suzuki S	120.0	11.0	62	18.5	169900	2014	5.0	1.6
8329	Kia Venga	90.0	12.9	5	17.9	164900	2017	5.0	1.4
8330	Audi Q5	177.0	9.0	79	16.4	499700	2014	5.0	2.0
8331	Mercedes C200	136.0	9.5	138	20.0	269800	2014	5.0	2.2
8332	Nissan Qashqai	130.0	10.5	40	22.7	269700	2014	5.0	1.6
8333	Ford Grand	115.0	12.3	45	21.7	169800	2014	5.0	1.6
8334	Mazda MX	131.0	8.3	3	16.4	349700	2017	2.0	1.5
8335	Mercedes C200	136.0	9.5	131	18.9	264900	2014	5.0	2.2
8336	Hyundai i10	66.0	14.9	28	21.3	96900	2015	5.0	1.0
8337	Opel Insignia	160.0	9.9	68	19.6	159900	2011	5.0	2.0
8338	Chevrolet Spark	68.0	15.5	120	20.0	34900	2011	5.0	1.0
8339	Suzuki S	120.0	13.0	58	22.7	199800	2013	5.0	1.6
8340	Fiat 500L	120.0	12.8	0	14.9	199900	2017	5.0	1.4
8341	Ford Kuga	180.0	10.4	99	18.5	307000	2015	5.0	2.0
8342	Audi A4	136.0	9.8	52	21.3	249900	2013	5.0	2.0
8343	Ford S	163.0	10.2	184	16.7	169800	2012	5.0	2.0
8344	Peugeot 308	120.0	10.1	162	31.3	134900	2014	5.0	1.6
8345	Fiat 500C	105.0	10.0	11	23.8	144900	2015	2.0	0.9
8346	Opel Astra	136.0	10.1	5	21.7	269900	2017	5.0	1.6
8347	Skoda Fabia	75.0	14.3	62	29.4	94900	2012	5.0	1.2
8348	Opel Insignia	160.0	9.9	110	19.6	159900	2013	5.0	2.0
8349	Opel Insignia	163.0	9.9	149	22.2	199900	2015	5.0	2.0
8350	Audi A6	313.0	5.3	109	15.6	549800	2013	5.0	3.0
8351	Opel Zafira	165.0	9.8	132	21.3	209900	2013	5.0	2.0
8352	Mercedes A180	122.0	9.1	40	17.9	269900	2013	5.0	1.6
8353	Kia Ceed	115.0	11.5	155	22.7	69900	2011	5.0	1.6
8354	BMW X4	258.0	5.8	52	16.9	649900	2015	5.0	3.0
8355	Mercedes ML320	224.0	8.6	188	10.4	299900	2008	5.0	3.0
8356	BMW 320d	190.0	7.7	59	23.3	369900	2016	5.0	2.0
8357	VW Passat	170.0	8.6	159	19.2	189900	2013	4.0	2.0
8358	VW Golf	100.0	12.5	126	18.9	42900	2002	3.0	1.9
8359	Toyota Avensis	126.0	9.7	193	18.5	94900	2009	4.0	2.0
8360	Ford S	163.0	10.2	149	16.7	179800	2011	5.0	2.0
8361	Porsche Panamera	440.0	4.4	12	12.2	775000	2017	5.0	2.9
8362	Suzuki S	120.0	11.0	62	18.5	169900	2014	5.0	1.6
8363	Kia Venga	90.0	12.9	5	17.9	164900	2017	5.0	1.4
8364	Audi Q5	177.0	9.0	79	16.4	499700	2014	5.0	2.0
8365	Mercedes C200	136.0	9.5	138	20.0	269800	2014	5.0	2.2
8366	Nissan Qashqai	130.0	10.5	40	22.7	269700	2014	5.0	1.6
8367	Ford Grand	115.0	12.3	45	21.7	169800	2014	5.0	1.6
8368	Mazda MX	131.0	8.3	3	16.4	349700	2017	2.0	1.5
8369	Mercedes C200	136.0	9.5	131	18.9	264900	2014	5.0	2.2
8370	Hyundai i10	66.0	14.9	28	21.3	96900	2015	5.0	1.0
8371	Opel Insignia	160.0	9.9	68	19.6	159900	2011	5.0	2.0
8372	Chevrolet Spark	68.0	15.5	120	20.0	34900	2011	5.0	1.0
8373	Suzuki S	120.0	13.0	58	22.7	199800	2013	5.0	1.6
8374	Opel Astra	136.0	10.1	5	21.7	269900	2017	5.0	1.6
8375	Skoda Fabia	75.0	14.3	62	29.4	94900	2012	5.0	1.2
8376	Opel Insignia	160.0	9.9	110	19.6	159900	2013	5.0	2.0
8377	Opel Insignia	163.0	9.9	149	22.2	199900	2015	5.0	2.0
8378	Audi A6	313.0	5.3	109	15.6	549800	2013	5.0	3.0
8379	Opel Zafira	165.0	9.8	132	21.3	209900	2013	5.0	2.0
8380	Mercedes A180	122.0	9.1	40	17.9	269900	2013	5.0	1.6
8381	Kia Ceed	115.0	11.5	155	22.7	69900	2011	5.0	1.6
8382	BMW X4	258.0	5.8	52	16.9	649900	2015	5.0	3.0
8383	Mercedes ML320	224.0	8.6	188	10.4	299900	2008	5.0	3.0
8384	BMW 320d	190.0	7.7	59	23.3	369900	2016	5.0	2.0
8385	VW Passat	170.0	8.6	159	19.2	189900	2013	4.0	2.0
8386	VW Golf	100.0	12.5	126	18.9	42900	2002	3.0	1.9
8387	Toyota Avensis	126.0	9.7	193	18.5	94900	2009	4.0	2.0
8388	Ford S	163.0	10.2	149	16.7	179800	2011	5.0	2.0
8389	Porsche Panamera	440.0	4.4	12	12.2	775000	2017	5.0	2.9
8390	Suzuki S	120.0	11.0	62	18.5	169900	2014	5.0	1.6
8391	Kia Venga	90.0	12.9	5	17.9	164900	2017	5.0	1.4
8392	Audi Q5	177.0	9.0	79	16.4	499700	2014	5.0	2.0
8393	Mercedes C200	136.0	9.5	138	20.0	269800	2014	5.0	2.2
8394	Nissan Qashqai	130.0	10.5	40	22.7	269700	2014	5.0	1.6
8395	Ford Grand	115.0	12.3	45	21.7	169800	2014	5.0	1.6
8396	Mazda MX	131.0	8.3	3	16.4	349700	2017	2.0	1.5
8397	Mercedes C200	136.0	9.5	131	18.9	264900	2014	5.0	2.2
8398	Hyundai i10	66.0	14.9	28	21.3	96900	2015	5.0	1.0
8399	Opel Insignia	160.0	9.9	68	19.6	159900	2011	5.0	2.0
8400	Chevrolet Spark	68.0	15.5	120	20.0	34900	2011	5.0	1.0
8401	Suzuki S	120.0	13.0	58	22.7	199800	2013	5.0	1.6
8402	Audi A6	313.0	5.3	109	15.6	549800	2013	5.0	3.0
8403	Opel Zafira	165.0	9.8	132	21.3	209900	2013	5.0	2.0
8404	Mercedes A180	122.0	9.1	40	17.9	269900	2013	5.0	1.6
8405	Kia Ceed	115.0	11.5	155	22.7	69900	2011	5.0	1.6
8406	BMW X4	258.0	5.8	52	16.9	649900	2015	5.0	3.0
8407	Mercedes ML320	224.0	8.6	188	10.4	299900	2008	5.0	3.0
8408	BMW 320d	190.0	7.7	59	23.3	369900	2016	5.0	2.0
8409	VW Passat	170.0	8.6	159	19.2	189900	2013	4.0	2.0
8410	VW Golf	100.0	12.5	126	18.9	42900	2002	3.0	1.9
8411	Toyota Avensis	126.0	9.7	193	18.5	94900	2009	4.0	2.0
8412	Ford S	163.0	10.2	149	16.7	179800	2011	5.0	2.0
8413	Porsche Panamera	440.0	4.4	12	12.2	775000	2017	5.0	2.9
8414	Suzuki S	120.0	11.0	62	18.5	169900	2014	5.0	1.6
8415	Kia Venga	90.0	12.9	5	17.9	164900	2017	5.0	1.4
8416	Audi Q5	177.0	9.0	79	16.4	499700	2014	5.0	2.0
8417	Mercedes C200	136.0	9.5	138	20.0	269800	2014	5.0	2.2
8418	Nissan Qashqai	130.0	10.5	40	22.7	269700	2014	5.0	1.6
8419	Ford Grand	115.0	12.3	45	21.7	169800	2014	5.0	1.6
8420	Mazda MX	131.0	8.3	3	16.4	349700	2017	2.0	1.5
8421	Mercedes C200	136.0	9.5	131	18.9	264900	2014	5.0	2.2
8422	Hyundai i10	66.0	14.9	28	21.3	96900	2015	5.0	1.0
8423	Opel Insignia	160.0	9.9	68	19.6	159900	2011	5.0	2.0
8424	Chevrolet Spark	68.0	15.5	120	20.0	34900	2011	5.0	1.0
8425	Suzuki S	120.0	13.0	58	22.7	199800	2013	5.0	1.6
8426	Fiat 500L	120.0	12.8	0	14.9	199900	2017	5.0	1.4
8427	Ford Kuga	180.0	10.4	99	18.5	307000	2015	5.0	2.0
8428	Audi A4	136.0	9.8	52	21.3	249900	2013	5.0	2.0
8429	Nissan Juke	115.0	10.8	7	17.5	174900	2017	5.0	1.2
8430	Renault Grand	130.0	10.5	81	22.7	149900	2012	5.0	1.6
8431	Opel Astra	136.0	10.1	5	21.7	269900	2017	5.0	1.6
8432	Skoda Fabia	75.0	14.3	62	29.4	94900	2012	5.0	1.2
8433	Opel Insignia	160.0	9.9	110	19.6	159900	2013	5.0	2.0
8434	Opel Insignia	163.0	9.9	149	22.2	199900	2015	5.0	2.0
8435	Audi A6	313.0	5.3	109	15.6	549800	2013	5.0	3.0
