Audi A6 2,0 TDi 17...ltitr. 5d;170 HK;188.000;16,9 km/l;9,2 sek.;159.900 kr.;2010
BMW 320d 2,0  4d;177 HK;52.000;20,8 km/l;7,9 sek.;199.900 kr.;2010
Ford C-MAX 1,5 TDC...tanium 5d;120 HK;9.000;24,4 km/l;11,3 sek.;244.900 kr.;2017
Mercedes E200 2,0 ...t aut. 2d;184 HK;50.000;16,1 km/l;8,2 sek.;614.900 kr.;2016
Kia Rio 1,4 CRDi 9...ction+ 5d;90 HK;2.000;26,3 km/l;14,2 sek.;164.900 kr.;2016
Audi SQ5 3,0 TDi 3...Tiptr. 5d;313 HK;50.000;14,7 km/l;5,1 sek.;789.900 kr.;2015
BMW 530d 3,0 aut. 4d;265 HK;7.000;22,2 km/l;5,7 sek.;895.000 kr.;2017
Renault Megane IV ...Zen ST 5d;100 HK;10.000;18,5 km/l;12,6 sek.;209.900 kr.;2017
Opel Corsa 1,3 CDT... Enjoy 5d;95 HK;20.000;29,4 km/l;11,9 sek.;139.900 kr.;2016
Kia Venga 1,4 CRDi...ashion 5d;90 HK;120.000;22,2 km/l;14,5 sek.;79.900 kr.;2010
Peugeot 5008 1,6 T...remium 5d;156 HK;109.000;14,1 km/l;10,5 sek.;139.600 kr.;2011
Audi A4 2,0 TDi 17...ltitr. 5d;177 HK;119.000;20,4 km/l;8,1 sek.;259.900 kr.;2013
Skoda Octavia 1,8 ... Combi 5d;160 HK;142.000;14,5 km/l;7,9 sek.;79.900 kr.;2010
Volvo V60 2,0 D4 1...rive-E 5d;181 HK;155.000;26,3 km/l;7,6 sek.;249.900 kr.;2015
Skoda Octavia 2,0 ...bi DSG 5d;184 HK;140.000;20,0 km/l;8,3 sek.;299.900 kr.;2014
Citroxebn C4 Airc...uction 5d;150 HK;80.000;18,5 km/l;10,8 sek.;179.900 kr.;2012
Ford Mondeo 2,0 TD...r aut. 5d;163 HK;108.000;19,2 km/l;9,8 sek.;229.900 kr.;2014
Peugeot 208 1,2 VT...Motion 5d;82 HK;60.000;22,2 km/l;12,2 sek.;94.900 kr.;2014
Hyundai ix20 1,4 Life 5d;90 HK;5.000;17,9 km/l;12,8 sek.;139.900 kr.;2016
BMW 330i 2,0 aut. 4d;252 HK;19.000;18,2 km/l;5,8 sek.;459.900 kr.;2016
Opel Insignia 2,8 ...t. 4x4 5d;325 HK;176.000;9,1 km/l;6,6 sek.;269.900 kr.;2012
VW Tiguan 2,0 TDi ...SG BMT 5d;150 HK;50.000;20,8 km/l;9,3 sek.;389.900 kr.;2017
Toyota Prius 1,8 H...H3 CVT 5d;122 HK;11.000;-;10,6 sek.;329.900 kr.;2017
VW Polo 1,4 TDi 75...Motion 5d;75 HK;89.000;32,3 km/l;12,9 sek.;119.900 kr.;2015
Kia Ceed 1,6 CRDi ...ive SW 5d;90 HK;117.000;22,2 km/l;14,0 sek.;89.900 kr.;2011
Seat Leon 1,0 TSi ... Style 5d;115 HK;8.000;23,3 km/l;9,6 sek.;194.900 kr.;2016
Ford Fiesta 1,5 TD...tanium 5d;95 HK;26.000;27,8 km/l;11,7 sek.;149.800 kr.;2016
Peugeot 308 1,6 TH...remium 5d;150 HK;173.000;14,1 km/l;8,8 sek.;64.900 kr.;2008
BMW 525d 3,0 Touri...teptr. 5d;197 HK;310.000;15,2 km/l;7,9 sek.;154.900 kr.;2008
Skoda Fabia 1,0 TS...bi DSG 5d;110 HK;7.000;21,7 km/l;9,9 sek.;184.900 kr.;2018
Dacia Sandero Step...estige 5d;90 HK;20.000;19,6 km/l;11,1 sek.;129.900 kr.;2016
Peugeot RCZ 1,6 THP 156 2d;156 HK;87.000;14,9 km/l;8,3 sek.;199.900 kr.;2011
Hyundai i40 1,7 CR...5 Life 4d;115 HK;8.000;23,8 km/l;12,4 sek.;209.900 kr.;2016
VW Sharan 2,0 TDi ...SG BMT 5d;140 HK;95.000;17,5 km/l;10,9 sek.;319.900 kr.;2012
Audi A4 2,0 TFSi 1... Avant 5d;180 HK;150.000;15,2 km/l;8,1 sek.;150.000 kr.;2010
Volvo XC60 2,4 D3 ...t. AWD 5d;163 HK;108.000;14,7 km/l;10,3 sek.;389.900 kr.;2012
BMW Z3 3,0i  2d;231 HK;67.000;10,4 km/l;6,0 sek.;299.800 kr.;2000
Audi Q5 2,0 TFSi 2...Tiptr. 5d;225 HK;35.000;13,9 km/l;7,1 sek.;659.900 kr.;2015
Ford Focus 1,5 TDC...st.car 5d;120 HK;9.000;26,3 km/l;10,7 sek.;249.500 kr.;2017
Ford S-MAX 2,0 TDC...S aut. 5d;163 HK;105.000;16,7 km/l;10,2 sek.;269.900 kr.;2013
Skoda Citigo 1,0 M...n aut. 5d;60 HK;4.000;24,4 km/l;15,3 sek.;144.900 kr.;2017
Ford S-MAX 2,0 TDC...n 7prs 5d;140 HK;68.000;17,9 km/l;10,2 sek.;209.900 kr.;2012
Audi A6 3,0 TDi Av...Tiptr. 5d;240 HK;292.000;14,1 km/l;7,0 sek.;139.900 kr.;2009
BMW 520i 2,0 Touri...g aut. 5d;184 HK;56.000;14,9 km/l;8,3 sek.;479.900 kr.;2014
Audi A4 3,0 TDi 20...ltitr. 5d;204 HK;153.000;19,6 km/l;7,3 sek.;289.900 kr.;2013
Volvo V40 1,6 D2 1...rive-E 5d;115 HK;73.000;29,4 km/l;11,9 sek.;179.900 kr.;2014
Audi A4 2,0 TDi 19...ltitr. 4d;190 HK;168.000;22,2 km/l;7,8 sek.;289.800 kr.;2015
Suzuki Swift 1,3 D...Aircon 5d;75 HK;137.000;24,4 km/l;12,7 sek.;59.900 kr.;2012
BMW 320d 2,0 Gran ...o aut. 5d;184 HK;54.000;20,4 km/l;7,9 sek.;369.900 kr.;2014
Fiat 500 0,9 TwinA...opstar 3d;80 HK;12.000;26,3 km/l;11,0 sek.;94.795 kr.;2016
Audi A5 1,8 TFSi 1...ltitr. 5d;177 HK;45.000;16,9 km/l;8,4 sek.;399.900 kr.;2016
Hyundai i30 1,0 T-... Life+ 5d;120 HK;8.000;20,4 km/l;11,1 sek.;184.700 kr.;2017
VW Polo 1,4 TSi 15...GT DSG 5d;150 HK;13.000;21,3 km/l;7,8 sek.;209.900 kr.;2014
Volvo V50 1,8 Kinetic 5d;125 HK;254.000;13,7 km/l;11,0 sek.;48.800 kr.;2005
Renault Captur 0,9...90 Zen 5d;90 HK;7.000;19,6 km/l;13,0 sek.;164.900 kr.;2017
Fiat 500 1,2 Lounge 3d;69 HK;88.000;20,8 km/l;12,9 sek.;59.900 kr.;2011
Ford Fiesta 1,0 SC...tanium 5d;125 HK;23.000;23,3 km/l;9,4 sek.;119.800 kr.;2014
Hyundai i30 1,6 CR...SG Eco 5d;110 HK;50.000;27,0 km/l;11,5 sek.;129.900 kr.;2012
DS DS 4 1,6 BlueHD...k EAT6 5d;120 HK;29.000;25,6 km/l;12,5 sek.;229.900 kr.;2015
Audi A5 2,0 TFSi 1...ltitr. 2d;180 HK;79.000;13,5 km/l;8,9 sek.;344.900 kr.;2009
Peugeot 308 1,6 Bl...ive SW 5d;120 HK;13.000;31,3 km/l;10,1 sek.;204.800 kr.;2015
Renault Clio IV 1,...imited 5d;90 HK;11.000;31,3 km/l;12,1 sek.;144.900 kr.;2016
VW Tiguan 1,4 TSi ...ne DSG 5d;150 HK;12.000;16,7 km/l;9,2 sek.;409.900 kr.;2017
Opel Insignia 2,0 ...ion ST 5d;130 HK;208.000;16,6 km/l;11,6 sek.;104.900 kr.;2009
BMW 420i 2,0 Coup...9 aut. 2d;184 HK;116.000;16,7 km/l;7,6 sek.;369.900 kr.;2014
Toyota Yaris 1,0 V... Style 5d;69 HK;1.000;23,3 km/l;15,3 sek.;129.900 kr.;2017
Ford Mondeo 2,0 TD...r aut. 5d;130 HK;189.000;14,1 km/l;11,4 sek.;99.900 kr.;2008
VW Golf VII 1,4 TS...SG BMT 5d;150 HK;27.000;19,6 km/l;8,6 sek.;309.900 kr.;2017
Peugeot 508 2,0 HD...ive SW 5d;163 HK;66.000;20,0 km/l;8,9 sek.;177.000 kr.;2013
Opel Astra 1,6 CDT...joy ST 5d;110 HK;8.000;28,6 km/l;11,4 sek.;219.900 kr.;2017
Kia Rio 1,2 CVVT Motion 5d;86 HK;160.000;20,8 km/l;13,1 sek.;57.800 kr.;2012
VW Passat CC 2,0 TSi 4d;200 HK;280.000;12,7 km/l;7,6 sek.;179.800 kr.;2009
Mercedes E220 2,2 ...ut. BE 5d;170 HK;110.000;18,2 km/l;9,0 sek.;379.800 kr.;2013
VW Golf VI 2,0 TDi...ariant 5d;140 HK;103.000;20,4 km/l;9,7 sek.;134.900 kr.;2010
Audi A5 2,7 TDi Co...ltitr. 2d;190 HK;168.000;14,9 km/l;7,6 sek.;237.700 kr.;2008
Peugeot 308 1,6 Bl...ive SW 5d;120 HK;15.000;31,3 km/l;10,1 sek.;199.999 kr.;2015
Volvo S80 2,4 140 aut. 4d;140 HK;142.000;10,8 km/l;11,4 sek.;Ring;2001
Volvo S60 1,6 T3 1...mentum 4d;150 HK;78.000;18,2 km/l;9,4 sek.;259.900 kr.;2015
VW Polo 1,6 TDi 90...rtline 5d;90 HK;236.000;23,8 km/l;11,5 sek.;69.800 kr.;2009
BMW 118d 2,0 Advantage 5d;143 HK;198.000;22,2 km/l;9,0 sek.;103.900 kr.;2010
Ford S-MAX 2,0 TDC.... 7prs 5d;140 HK;180.000;16,7 km/l;10,9 sek.;148.900 kr.;2011
Ford Mondeo 2,0 TD...st.car 5d;115 HK;350.000;16,1 km/l;11,2 sek.;34.900 kr.;2006
Mini Cooper 1,5 136 aut. 3d;136 HK;10.000;21,3 km/l;7,8 sek.;269.700 kr.;2015
BMW 320d 2,0 aut. 4d;190 HK;84.000;25,0 km/l;7,2 sek.;329.900 kr.;2016
Mercedes CLA200 d ...ban SB 5d;136 HK;12.000;23,3 km/l;9,7 sek.;374.900 kr.;2017
Ford Mondeo 2,0 TD...st.car 5d;140 HK;166.000;20,4 km/l;9,8 sek.;169.800 kr.;2012
Seat Toledo 1,2 TS... Style 5d;110 HK;11.000;20,4 km/l;9,9 sek.;179.900 kr.;2017
Hyundai i10 1,25 Go Air 5d;86 HK;59.000;20,4 km/l;12,3 sek.;79.900 kr.;2015
BMW X1 2,0 sDrive18d 5d;143 HK;88.000;20,4 km/l;9,6 sek.;249.900 kr.;2014
VW New Beetle 1,6 ...riolet 2d;102 HK;97.000;13,0 km/l;12,3 sek.;137.900 kr.;2007
Skoda Octavia 1,4 ...bi DSG 5d;150 HK;38.000;20,0 km/l;8,6 sek.;239.900 kr.;2016
Honda Civic 1,6 i-...Tourer 5d;120 HK;22.000;25,6 km/l;10,4 sek.;179.900 kr.;2015
BMW 320d 2,0 Gran ...o aut. 5d;190 HK;46.000;23,3 km/l;7,7 sek.;384.800 kr.;2016
BMW i3 125 kW REX aut. 5d;170 HK;5.000;-;7,9 sek.;249.700 kr.;2015
Citroxebn C4 1,6 ...omplet 5d;100 HK;45.000;30,3 km/l;12,8 sek.;144.900 kr.;2016
Nissan Note 1,2 Ac...h Pack 5d;80 HK;87.000;21,3 km/l;13,7 sek.;129.500 kr.;2014
Audi A3 1,8 TFSi 1... S-tr. 5d;180 HK;37.000;17,9 km/l;7,3 sek.;264.900 kr.;2013
Peugeot 508 2,0 HD...ure SW 5d;163 HK;115.000;20,0 km/l;8,9 sek.;199.800 kr.;2012
Opel Insignia 2,0 ...T aut. 5d;170 HK;38.000;17,5 km/l;9,9 sek.;299.900 kr.;2016
Audi A3 1,4 TFSi 1...ion SB 5d;122 HK;99.000;18,9 km/l;9,5 sek.;179.800 kr.;2013
VW Golf V 1,4 Tren...ine 75 5d;75 HK;186.000;14,7 km/l;14,7 sek.;49.900 kr.;2004
Hyundai i30 1,4 CV...ve ISG 5d;109 HK;90.000;17,5 km/l;11,7 sek.;69.900 kr.;2010
Mitsubishi ASX 1,6...Invite 5d;117 HK;0;17,5 km/l;11,5 sek.;219.900 kr.;2017
Mercedes C220 d 2,...r aut. 5d;170 HK;13.000;21,3 km/l;7,6 sek.;489.900 kr.;2017
VW Golf VII 1,6 TD...SG BMT 5d;105 HK;92.000;25,6 km/l;10,7 sek.;194.900 kr.;2015
Toyota Yaris 1,0 V... Touch 5d;69 HK;103.000;20,8 km/l;-;75.900 kr.;2014
Renault Kadjar 1,5...10 Zen 5d;110 HK;5.000;26,3 km/l;11,9 sek.;254.900 kr.;2017
Opel Corsa 1,6 GSi 5d;150 HK;123.000;12,7 km/l;8,1 sek.;64.800 kr.;2008
Opel Corsa 1,6 GSi 5d;150 HK;123.000;12,7 km/l;8,1 sek.;64.800 kr.;2008
Mercedes C200 2,2 ...car BE 5d;136 HK;167.000;20,8 km/l;9,6 sek.;207.000 kr.;2014
Toyota Yaris 1,0 V... Touch 5d;69 HK;97.000;20,8 km/l;-;77.900 kr.;2014
Skoda Octavia 1,6 ...enLine 5d;105 HK;118.000;26,3 km/l;11,4 sek.;99.900 kr.;2011
Peugeot 208 1,6 Bl...Active 5d;100 HK;24.000;33,3 km/l;10,7 sek.;109.500 kr.;2016
Peugeot 208 1,2 e-...Allure 5d;110 HK;2.000;22,2 km/l;9,6 sek.;199.000 kr.;2015
Suzuki Alto 1,0 GL...Aircon 5d;68 HK;146.000;22,7 km/l;14,0 sek.;34.900 kr.;2011
Mercedes C250 1,8 ...ut. BE 4d;204 HK;83.000;15,6 km/l;7,2 sek.;Ring;2012
Suzuki Baleno 1,2 ...omfort 5d;90 HK;0;23,8 km/l;12,3 sek.;134.900 kr.;2018
Mercedes E220 d 2,...e aut. 4d;194 HK;26.000;25,6 km/l;7,3 sek.;599.900 kr.;2017
BMW 320d 2,0 Touri...ut. ED 5d;163 HK;29.000;23,3 km/l;8,2 sek.;304.800 kr.;2015
Ford Transit Custo... Ambiente;105 HK;9.000;16,7 km/l;-;419.900 kr.;2016
Opel Insignia 2,0 ...ST eco 5d;160 HK;192.000;19,6 km/l;9,9 sek.;99.900 kr.;2010
Peugeot 308 1,6 HD... Tour+ 5d;92 HK;72.000;23,8 km/l;12,4 sek.;89.900 kr.;2012
Ford Focus 1,5 SCT...r aut. 5d;150 HK;26.000;16,4 km/l;8,8 sek.;299.800 kr.;2016
Renault Megane IV ...30 Zen 5d;130 HK;7.000;18,9 km/l;10,6 sek.;199.900 kr.;2016
Seat Ibiza 1,0 TSi... Style 5d;95 HK;0;23,8 km/l;10,4 sek.;157.900 kr.;2017
Nissan X-Trail 1,6... Visia 5d;163 HK;0;16,1 km/l;9,7 sek.;295.970 kr.;2018
BMW 318d 2,0 Touring 5d;143 HK;116.000;22,2 km/l;9,2 sek.;254.500 kr.;2013
Ford Transit 300S ...DCi 85 5d;85 HK;167.000;-;-;179.900 kr.;2009
BMW 320d 2,0 Gran ...urismo 5d;184 HK;81.000;20,4 km/l;8,0 sek.;297.000 kr.;2013
Saab 9-3 1,8 t Lin...tCombi 5d;150 HK;83.000;13,2 km/l;10,2 sek.;134.900 kr.;2010
Mercedes CLA200 1,6 SB 5d;156 HK;18.000;17,2 km/l;8,8 sek.;359.900 kr.;2016
Suzuki Vitara 1,6 ...e aut. 5d;120 HK;1.000;18,2 km/l;12,0 sek.;237.900 kr.;2018
Skoda Octavia 1,6 ...egance 5d;105 HK;85.000;26,3 km/l;10,8 sek.;167.000 kr.;2015
Chevrolet Tacuma 1,6 SX 5d;105 HK;85.000;12,5 km/l;11,8 sek.;23.900 kr.;2009
Kia Picanto 1,0 St...o Clim 5d;69 HK;57.000;24,4 km/l;14,4 sek.;69.900 kr.;2014
Kia Picanto 1,0 St...o Clim 5d;69 HK;57.000;24,4 km/l;14,4 sek.;69.900 kr.;2014
Mitsubishi ASX 1,6...Invite 5d;117 HK;0;17,5 km/l;11,5 sek.;219.900 kr.;2017
Nissan Note 1,2 Vi...a City 5d;80 HK;25.000;21,3 km/l;13,7 sek.;119.800 kr.;2016
Ford Fiesta 1,0 SC...tanium 5d;125 HK;8.000;23,3 km/l;9,4 sek.;149.900 kr.;2017
VW Passat 2,0 TDi ...ne BMT 4d;140 HK;207.000;21,7 km/l;9,8 sek.;134.900 kr.;2012
VW The Beetle 1,6 ...Design 2d;105 HK;111.000;22,2 km/l;11,5 sek.;154.900 kr.;2012
Seat Mii 1,0 60 St...le eco 5d;60 HK;83.000;24,4 km/l;14,4 sek.;59.700 kr.;2012
Mini Clubman Coope... D 112 5d;112 HK;79.000;25,6 km/l;10,2 sek.;164.900 kr.;2012
Audi Q7 3,0 TDi qu.... 7prs 5d;233 HK;170.000;9,6 km/l;9,1 sek.;234.900 kr.;2006
Suzuki Vitara 1,6 ...lusive 5d;120 HK;23.000;25,0 km/l;11,5 sek.;222.000 kr.;2017
Volvo V60 1,6 T4 1...mentum 5d;180 HK;88.000;16,9 km/l;8,5 sek.;279.700 kr.;2015
Peugeot 208 1,2 VT...Active 5d;82 HK;35.000;22,2 km/l;12,2 sek.;104.900 kr.;2015
Citroxebn C3 1,2 ... Sport 5d;110 HK;2.000;21,7 km/l;10,4 sek.;149.900 kr.;2017
Renault Espace 1,6...en EDC 5d;160 HK;19.000;21,7 km/l;9,7 sek.;429.900 kr.;2016
Ford Focus 1,6 TDC...st.car 5d;115 HK;139.000;23,8 km/l;11,0 sek.;127.800 kr.;2012
Toyota C-HR 1,2 T ...IC MDS 5d;116 HK;8.000;16,9 km/l;11,1 sek.;329.900 kr.;2017
VW Golf VII 1,6 TD...ariant 5d;110 HK;81.000;30,3 km/l;11,0 sek.;179.900 kr.;2015
Hyundai i40 1,6 GD...CW ISG 5d;135 HK;31.000;16,7 km/l;11,6 sek.;169.900 kr.;2012
Audi Q5 3,0 TDi 25... S-tr. 5d;258 HK;99.000;16,9 km/l;5,9 sek.;599.900 kr.;2015
Opel Insignia 2,0 ...ST eco 5d;140 HK;130.000;25,6 km/l;11,0 sek.;169.900 kr.;2014
Kia Venga 1,4 CVVT...Active 5d;90 HK;45.000;17,9 km/l;12,9 sek.;106.900 kr.;2014
BMW X1 2,0 sDrive2...d aut. 5d;184 HK;105.000;20,0 km/l;7,9 sek.;299.900 kr.;2013
Audi A6 2,0 TDi 17... Avant 5d;177 HK;108.000;20,0 km/l;9,0 sek.;319.800 kr.;2014
Mercedes E200 2,2 ...ut. BE 5d;136 HK;326.000;16,4 km/l;11,1 sek.;189.900 kr.;2011
Ford Fiesta 1,0 SC...tanium 5d;125 HK;2.000;23,3 km/l;9,4 sek.;184.800 kr.;2017
Skoda Octavia 1,4 ...ce DSG 5d;140 HK;54.000;20,0 km/l;8,5 sek.;229.900 kr.;2015
Nissan Micra 1,2 D...Acenta 5d;98 HK;5.000;23,3 km/l;11,3 sek.;119.800 kr.;2017
Kia Ceed 1,6 GDi S...lim SW 5d;135 HK;8.000;16,9 km/l;10,2 sek.;199.900 kr.;2015
Citroxebn Grand C...e aut. 5d;150 HK;57.000;22,2 km/l;10,2 sek.;242.000 kr.;2014
